node_num,x,y,z
200025,-4.0,-14.994791666666666,0.0
210025,-4.0,-14.994791666666666,0.0
220025,-4.0,-14.994791666666666,0.0
300025,-4.0,-14.994791666666666,0.0
310025,-4.0,-14.994791666666666,0.0
100026,-4.0,-4.0,0.0
110026,-4.0,-4.0,0.0
200026,-4.0,-4.0,0.0
210026,-4.0,-4.0,0.0
220026,-4.0,-4.0,0.0
230026,-4.0,-4.0,0.0
100027,-4.0,4.0,0.0
110027,-4.0,4.0,0.0
200027,-4.0,4.0,0.0
210027,-4.0,4.0,0.0
220027,-4.0,4.0,0.0
230027,-4.0,4.0,0.0
100028,-4.0,14.994791666666666,0.0
110028,-4.0,14.994791666666666,0.0
200028,-4.0,14.994791666666666,0.0
210028,-4.0,14.994791666666666,0.0
220028,-4.0,14.994791666666666,0.0
300028,-4.0,14.994791666666666,0.0
310028,-4.0,14.994791666666666,0.0
100029,-15.328125,-14.994791666666666,0.0
110029,-15.328125,-14.994791666666666,0.0
200029,-15.328125,-14.994791666666666,0.0
210029,-15.328125,-14.994791666666666,0.0
300029,-15.328125,-14.994791666666666,0.0
310029,-15.328125,-14.994791666666666,0.0
320029,-15.328125,-14.994791666666666,0.0
330029,-15.328125,-14.994791666666666,0.0
340029,-15.328125,-14.994791666666666,0.0
350029,-15.328125,-14.994791666666666,0.0
100030,-15.328125,-4.0,0.0
110030,-15.328125,-4.0,0.0
200030,-15.328125,-4.0,0.0
210030,-15.328125,-4.0,0.0
220030,-15.328125,-4.0,0.0
300030,-15.328125,-4.0,0.0
310030,-15.328125,-4.0,0.0
100031,-15.328125,4.0,0.0
110031,-15.328125,4.0,0.0
200031,-15.328125,4.0,0.0
210031,-15.328125,4.0,0.0
220031,-15.328125,4.0,0.0
300031,-15.328125,4.0,0.0
310031,-15.328125,4.0,0.0
100032,-15.328125,14.994791666666666,0.0
110032,-15.328125,14.994791666666666,0.0
200032,-15.328125,14.994791666666666,0.0
210032,-15.328125,14.994791666666666,0.0
300032,-15.328125,14.994791666666666,0.0
310032,-15.328125,14.994791666666666,0.0
320032,-15.328125,14.994791666666666,0.0
330032,-15.328125,14.994791666666666,0.0
